,0,1
0,chapter,21
1,one,227
2,it,842
3,was,966
4,a,2084
5,queer,9
6,sultry,1
7,summer,32
8,the,3786
9,they,270
10,electrocuted,3
11,rosenbergs,5
12,and,2779
13,i,3097
14,did,257
15,n't,575
16,know,126
17,what,278
18,doing,26
19,in,1166
20,new,73
21,york,39
22,m,91
23,stupid,12
24,about,193
25,executions,1
26,idea,24
27,of,1572
28,being,36
29,makes,5
30,me,745
31,sick,27
32,that,574
33,s,457
34,all,284
35,there,187
36,to,1611
37,read,36
38,papers,8
39,goggle-eyed,1
40,headlines,1
41,staring,13
42,up,337
43,at,511
44,on,588
45,every,48
46,street,19
47,corner,24
48,fusty,2
49,peanut-smelling,1
50,mouth,39
51,subway,5
52,had,698
53,nothing,41
54,do,215
55,with,591
56,but,355
57,could,273
58,help,17
59,wondering,6
60,would,398
61,be,330
62,like,387
63,burned,2
64,alive,7
65,along,33
66,your,56
67,nerves,3
68,thought,229
69,must,73
70,worst,6
71,thing,47
72,world,23
73,bad,23
74,enough,33
75,by,170
76,nine,10
77,morning,37
78,fake,4
79,country-wet,1
80,freshness,1
81,somehow,4
82,seeped,2
83,overnight,5
84,evaporated,1
85,tail,3
86,end,44
87,sweet,12
88,dream,7
89,mirage-grey,1
90,bottom,16
91,their,82
92,granite,1
93,canyons,1
94,hot,24
95,streets,8
96,wavered,2
97,sun,21
98,car,27
99,tops,3
100,sizzled,1
101,glittered,2
102,dry,9
103,tindery,1
104,dust,10
105,blew,1
106,into,221
107,my,1074
108,eyes,90
109,down,200
110,throat,10
111,kept,42
112,hearing,7
113,over,170
114,radio,3
115,office,25
116,till,19
117,get,97
118,them,149
119,out,365
120,mind,37
121,first,93
122,time,126
123,saw,61
124,cadaver,5
125,for,355
126,weeks,5
127,afterwards,6
128,head,96
129,or,212
130,left,49
131,floated,12
132,behind,47
133,eggs,6
134,bacon,3
135,breakfast,12
136,face,97
137,buddy,204
138,willard,87
139,who,105
140,responsible,4
141,seeing,14
142,place,38
143,pretty,8
144,soon,18
145,felt,108
146,as,340
147,though,10
148,were,230
149,carrying,3
150,around,55
151,string,8
152,some,122
153,black,86
154,noseless,1
155,balloon,1
156,stinking,1
157,vinegar,1
158,knew,94
159,something,68
160,wrong,21
161,because,96
162,think,81
163,how,142
164,d,148
165,been,127
166,buy,8
167,those,45
168,uncomfortable,2
169,expensive,5
170,clothes,20
171,hanging,10
172,limp,7
173,fish,3
174,closet,12
175,little,96
176,successes,1
177,totted,1
178,so,268
179,happily,2
180,college,80
181,fizzled,1
182,outside,5
183,slick,1
184,marble,7
185,plate-glass,1
186,fronts,2
187,madison,2
188,avenue,4
189,supposed,13
190,having,17
191,life,35
192,envy,3
193,thousands,1
194,other,89
195,girls,37
196,just,134
197,america,6
198,wanted,80
199,more,72
200,than,36
201,tripping,1
202,same,37
203,size,12
204,seven,15
205,patent,9
206,leather,21
207,shoes,20
208,bought,10
209,bloomingdale,4
210,lunch,12
211,hour,25
212,belt,3
213,pocket-book,15
214,match,4
215,when,165
216,picture,24
217,came,90
218,magazine,27
219,twelve,10
220,us,71
221,working,7
222,drinking,4
223,martinis,1
224,skimpy,2
225,imitation,7
226,silver-lamé,1
227,bodice,1
228,stuck,24
229,big,59
230,fat,26
231,cloud,6
232,white,141
233,tulle,1
234,starlight,1
235,roof,4
236,company,2
237,several,8
238,anonymous,1
239,young,21
240,men,27
241,all-american,1
242,bone,3
243,structures,1
244,hired,1
245,loaned,1
246,occasion,1
247,everybody,23
248,real,12
249,whirl,1
250,look,42
251,can,37
252,happen,10
253,this,155
254,country,16
255,say,77
256,girl,66
257,lives,2
258,out-of-the-way,2
259,town,25
260,nineteen,7
261,years,23
262,poor,8
263,she,435
264,ca,31
265,afford,3
266,then,340
267,gets,4
268,scholarship,15
269,wins,1
270,prize,6
271,here,49
272,ends,6
273,steering,2
274,her,430
275,own,45
276,private,12
277,only,137
278,anything,47
279,not,106
280,even,54
281,myself,95
282,bumped,4
283,from,265
284,hotel,26
285,work,26
286,parties,3
287,back,183
288,numb,7
289,trolley-bus,1
290,guess,20
291,should,46
292,have,227
293,excited,3
294,way,110
295,most,30
296,react,1
297,very,73
298,still,53
299,empty,17
300,eye,27
301,tornado,1
302,feel,48
303,moving,24
304,dully,2
305,middle,25
306,surrounding,1
307,hullabaloo,1
308,we,147
309,won,3
310,fashion,9
311,contest,1
312,writing,23
313,essays,1
314,stories,11
315,poems,11
316,blurbs,2
317,prizes,3
318,gave,36
319,jobs,3
320,month,8
321,expenses,1
322,paid,5
323,piles,5
324,free,16
325,bonuses,1
326,ballet,1
327,tickets,1
328,passes,1
329,shows,1
330,hair,45
331,stylings,1
332,famous,15
333,salon,1
334,chances,1
335,meet,4
336,successful,2
337,people,106
338,field,4
339,our,60
340,desire,3
341,advice,2
342,particular,6
343,complexions,1
344,make-up,5
345,kit,1
346,fitted,6
347,person,38
348,brown,27
349,an,182
350,oblong,2
351,mascara,3
352,tiny,13
353,brush,3
354,round,55
355,basin,5
356,blue,64
357,eye-shadow,1
358,dab,1
359,tip,12
360,finger,12
361,three,28
362,lipsticks,3
363,ranging,1
364,red,30
365,pink,20
366,cased,1
367,gilt,4
368,box,23
369,mirror,25
370,side,54
371,also,15
372,plastic,6
373,sun-glasses,2
374,case,16
375,coloured,6
376,shells,7
377,sequins,1
378,green,62
379,starfish,2
380,sewed,1
381,realized,12
382,piling,1
383,these,31
384,presents,4
385,good,48
386,advertising,1
387,firms,1
388,involved,4
389,cynical,3
390,got,42
391,such,25
392,kick,2
393,gifts,1
394,showering,1
395,long,56
396,hid,4
397,away,53
398,later,17
399,right,77
400,again,65
401,brought,18
402,house,48
403,use,11
404,now,69
405,last,44
406,week,19
407,cut,21
408,off,103
409,baby,53
410,play,11
411,wing,6
412,floor,28
413,single,9
414,rooms,7
415,after,143
416,reminded,7
417,dormitory,5
418,proper,9
419,mean,26
420,where,90
421,are,63
422,both,28
423,women,28
424,mixed,3
425,amazon,6
426,mostly,1
427,age,5
428,wealthy,5
429,parents,5
430,sure,38
431,daughters,2
432,living,12
433,deceive,1
434,going,78
435,posh,1
436,secretarial,1
437,schools,3
438,katy,2
439,gibbs,2
440,wear,8
441,hats,6
442,stockings,3
443,gloves,1
444,class,16
445,graduated,3
446,places,6
447,secretaries,2
448,executives,2
449,junior,6
450,simply,15
451,waiting,19
452,married,25
453,career,3
454,man,100
455,looked,110
456,awfully,3
457,bored,6
458,sun-roof,1
459,yawning,2
460,painting,1
461,nails,2
462,trying,28
463,keep,13
464,bermuda,1
465,tans,1
466,seemed,89
467,hell,13
468,talked,10
469,yachts,2
470,flying,4
471,aeroplanes,2
472,skiing,1
473,switzerland,1
474,christmas,10
475,brazil,2
476,make,48
477,jealous,1
478,speak,7
479,england,3
480,except,12
481,trip,3
482,chance,10
483,sitting,37
484,letting,3
485,run,15
486,through,98
487,fingers,22
488,much,54
489,water,56
490,troubles,1
491,doreen,103
492,never,106
493,known,10
494,before,73
495,society,4
496,south,5
497,bright,32
498,standing,11
499,cotton,5
500,candy,6
501,fluff,1
502,transparent,2
503,agate,1
504,marbles,1
505,hard,19
506,polished,3
507,indestructible,1
508,set,23
509,sort,34
510,perpetual,2
511,sneer,4
512,nasty,5
513,amused,1
514,mysterious,2
515,if,229
516,silly,15
517,tell,77
518,jokes,2
519,singled,2
520,made,85
521,sharper,1
522,others,8
523,really,49
524,wonderfully,2
525,funny,9
526,used,14
527,sit,12
528,next,49
529,conference,3
530,table,33
531,visiting,4
532,celebrities,2
533,talking,12
534,whisper,3
535,witty,2
536,sarcastic,1
537,remarks,3
538,under,80
539,breath,15
540,fashion-conscious,1
541,said,385
542,covers,4
543,material,1
544,dresses,5
545,each,46
546,changed,8
547,matching,4
548,kind,21
549,detail,1
550,impressed,2
551,suggested,3
552,whole,44
553,marvellous,1
554,elaborate,3
555,decadence,1
556,attracted,2
557,magnet,1
558,ever,32
